bin_id	sample_id	classification	mag_path	gtdb_file	Bin Id	Completeness	Contamination
UHM892.23050_R.bin.18	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM892.23050_R.bin.18.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/classify/gtdbtk.bac120.summary.tsv			
UHM892.23050_R.bin.33	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM892.23050_R.bin.33.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/classify/gtdbtk.bac120.summary.tsv			
UHM892.23050_R.bin.49	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM892.23050_R.bin.49.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/classify/gtdbtk.bac120.summary.tsv			
UHM892.23050_R.bin.68	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG1943;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM892.23050_R.bin.68.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/classify/gtdbtk.bac120.summary.tsv			
UHM892.23050_R.bin.69	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM892.23050_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/classify/gtdbtk.bac120.summary.tsv			
UHM18.10827_R.bin.56	UHM18.10827	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM18.10827/bins/UHM18.10827_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM18.10827/gtdbtk.bac120.summary.tsv			
UHM18.10827_R.bin.56	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM18.10827_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM18.10827/classify/gtdbtk.bac120.summary.tsv			
UHM906.23057_R.bin.110	UHM906.23057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA5884;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM906.23057/bins/UHM906.23057_R.bin.110.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/gtdbtk.bac120.summary.tsv	UHM906.23057_R.bin.110	61.21	1.72
UHM906.23057_R.bin.129	UHM906.23057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM906.23057/bins/UHM906.23057_R.bin.129.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/gtdbtk.bac120.summary.tsv	UHM906.23057_R.bin.129	67.58	0.04
UHM906.23057_R.bin.137	UHM906.23057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HGM13233;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM906.23057/bins/UHM906.23057_R.bin.137.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/gtdbtk.bac120.summary.tsv	UHM906.23057_R.bin.137	80.31	0.0
UHM906.23057_R.bin.154	UHM906.23057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM906.23057/bins/UHM906.23057_R.bin.154.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/gtdbtk.bac120.summary.tsv	UHM906.23057_R.bin.154	37.42	2.11
UHM906.23057_R.bin.60	UHM906.23057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM906.23057/bins/UHM906.23057_R.bin.60.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/gtdbtk.bac120.summary.tsv	UHM906.23057_R.bin.60	21.63	0.0
UHM906.23057_R.bin.110	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA5884;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM906.23057_R.bin.110.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/classify/gtdbtk.bac120.summary.tsv			
UHM906.23057_R.bin.129	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM906.23057_R.bin.129.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/classify/gtdbtk.bac120.summary.tsv			
UHM906.23057_R.bin.137	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HGM13233;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM906.23057_R.bin.137.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/classify/gtdbtk.bac120.summary.tsv			
UHM906.23057_R.bin.154	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM906.23057_R.bin.154.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/classify/gtdbtk.bac120.summary.tsv			
UHM906.23057_R.bin.60	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM906.23057_R.bin.60.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM906.23057/classify/gtdbtk.bac120.summary.tsv			
UHM997.41095_R.bin.19	UHM997.41095	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM997.41095/bins/UHM997.41095_R.bin.19.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/gtdbtk.bac120.summary.tsv	UHM997.41095_R.bin.19	52.71	1.57
UHM997.41095_R.bin.42	UHM997.41095	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM997.41095/bins/UHM997.41095_R.bin.42.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/gtdbtk.bac120.summary.tsv	UHM997.41095_R.bin.42	26.32	3.51
UHM997.41095_R.bin.46	UHM997.41095	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM997.41095/bins/UHM997.41095_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/gtdbtk.bac120.summary.tsv	UHM997.41095_R.bin.46	77.22	8.13
UHM997.41095_R.bin.19	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM997.41095_R.bin.19.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/classify/gtdbtk.bac120.summary.tsv			
UHM997.41095_R.bin.42	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM997.41095_R.bin.42.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/classify/gtdbtk.bac120.summary.tsv			
UHM997.41095_R.bin.46	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM997.41095_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM997.41095/classify/gtdbtk.bac120.summary.tsv			
UHM17.10826_R.bin.69	UHM17.10826	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM17.10826/bins/UHM17.10826_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM17.10826/gtdbtk.bac120.summary.tsv			
UHM17.10826_R.bin.69	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM17.10826_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM17.10826/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.100	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.100.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.100	15.52	3.45
UHM1073.23039_R.bin.101	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.101.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.101	96.31	1.01
UHM1073.23039_R.bin.102	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAGPHI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.102.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.102	8.93	0.0
UHM1073.23039_R.bin.103	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.103.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.103	58.96	0.34
UHM1073.23039_R.bin.114	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.114.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.114	79.91	8.16
UHM1073.23039_R.bin.123	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.123.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.123	91.39	0.06
UHM1073.23039_R.bin.126	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.126.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.126	90.77	3.69
UHM1073.23039_R.bin.155	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.155.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.155	73.48	1.68
UHM1073.23039_R.bin.161	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.161.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.161	97.32	0.67
UHM1073.23039_R.bin.162	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.162.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.162	59.09	2.01
UHM1073.23039_R.bin.25	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.25.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.25	27.59	0.0
UHM1073.23039_R.bin.29	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.29.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.29	51.17	5.36
UHM1073.23039_R.bin.44	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.44.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.44	96.09	1.51
UHM1073.23039_R.bin.46	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.46	94.63	0.89
UHM1073.23039_R.bin.5	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.5.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.5	35.91	0.13
UHM1073.23039_R.bin.52	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.52.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.52	18.75	0.0
UHM1073.23039_R.bin.56	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.56	13.28	0.0
UHM1073.23039_R.bin.57	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAGPHI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.57.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.57	96.96	1.7
UHM1073.23039_R.bin.59	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.59.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.59	86.2	6.79
UHM1073.23039_R.bin.62	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.62.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.62	88.88	25.8
UHM1073.23039_R.bin.64	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.64.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.64	95.58	2.72
UHM1073.23039_R.bin.70	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.70.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.70	19.54	0.0
UHM1073.23039_R.bin.71	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.71.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.71	90.52	2.68
UHM1073.23039_R.bin.72	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.72.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.72	53.1	2.03
UHM1073.23039_R.bin.77	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.77.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.77	79.03	3.24
UHM1073.23039_R.bin.95	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.95.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.95	52.25	0.34
UHM1073.23039_R.bin.100	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.100.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.101	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.101.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.102	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAGPHI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.102.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.103	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.103.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.114	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.114.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.123	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.123.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.126	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.126.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.155	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.155.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
UHM1073.23039_R.bin.161	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM1073.23039_R.bin.161.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/classify/gtdbtk.bac120.summary.tsv			
